Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1287.9489,0.4539,0.2517,0.2022,68.1292,27.9315,NA,0.0000,24.7470,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1288.4028,51.4168,51.0380,0.3788,95.6068,24.5611,-2.3605,1253.3489,0.7610,59.7609
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1339.8196,0.4703,0.2982,0.1721,68.7511,24.7493,NA,0.0000,24.3074,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1340.2899,49.6253,49.2478,0.3775,93.0301,25.2181,1.1422,1303.8015,0.0006,58.6187
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1389.9152,0.4540,0.2421,0.2119,68.6229,26.4796,NA,0.0000,24.9054,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1390.3692,50.5254,50.1605,0.3649,94.6485,25.1364,-0.8746,1354.6246,0.2638,59.4933
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1440.8946,0.4284,0.2653,0.1631,69.2595,24.3697,NA,0.0000,24.9213,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1441.3230,48.6093,48.3487,0.2606,93.2008,25.1345,0.7929,1404.9236,0.0017,58.7004
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1489.9323,0.3341,0.1900,0.1441,69.7260,26.3917,NA,0.0000,24.7320,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1490.2664,50.9063,50.6182,0.2881,95.7836,24.4999,-1.5238,1454.9260,0.4987,60.2242
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1541.1727,0.4690,0.2749,0.1941,69.3772,23.8173,NA,0.0000,24.2796,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1541.6417,48.6415,48.2847,0.3568,92.7255,24.9478,1.5876,1504.8308,0.0013,58.6366
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1590.2832,0.4719,0.2077,0.2642,69.0318,25.3049,NA,0.0000,24.6096,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1590.7551,49.8186,49.4854,0.3332,93.8648,24.3904,-0.3349,1554.7486,0.5671,58.9715
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1640.5737,0.4553,0.2872,0.1681,68.4366,25.8392,NA,0.0000,24.0474,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1641.0290,49.7095,49.3796,0.3299,93.8205,24.9635,-0.0594,1604.9188,0.1114,59.0309
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1690.7385,0.4594,0.2919,0.1675,69.0745,24.3716,NA,0.0000,24.6492,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1691.1979,49.9348,49.6384,0.2964,92.9867,25.2120,1.1002,1655.3541,0.0006,57.9307
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1741.1327,0.3531,0.2036,0.1495,68.2639,24.4737,NA,0.0000,24.8844,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1741.4858,49.2044,48.8159,0.3885,92.3845,24.7697,0.5601,1705.5999,0.3380,57.3706
